City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,62,1,10.85,clear sky
271,Dhidhdhoo,MV,6.8833,73.1,85.06,73,100,10.94,overcast clouds
272,Caconda,AO,-13.7333,15.0667,72.55,69,34,5.79,light rain
273,Klaksvik,FO,62.2266,-6.589,47.32,97,100,14.52,overcast clouds
274,Batagay-Alyta,RU,67.8006,130.4114,-4.67,100,67,5.23,broken clouds
275,Omboue,GA,-1.5746,9.2618,84.04,72,98,9.26,light rain
276,Cayenne,GF,4.9333,-52.3333,86.04,9,75,12.66,broken clouds
277,Humaita,BR,-7.5061,-63.0208,85.3,71,66,1.97,light rain
278,Hofn,IS,64.2539,-15.2082,46.45,86,27,9.89,scattered clouds
279,Ullapool,GB,57.8987,-5.1604,60.35,79,100,4.56,overcast clouds
280,Zvishavane,ZW,-20.3267,30.0665,61.16,96,100,6.13,overcast clouds
281,Sarangani,PH,5.4033,125.4636,81.95,79,99,9.66,overcast clouds
282,Mae Sai,TH,20.4335,99.8762,84.76,43,88,1.81,light rain
283,Ustynivka,UA,47.9551,32.5367,49.12,50,100,6.2,overcast clouds
284,Gambela,ET,8.25,34.5833,91.36,40,67,6.24,broken clouds
285,Benjamin Constant,BR,-4.3831,-70.0311,77.05,88,75,3.44,broken clouds
286,Brae,GB,60.3964,-1.353,51.06,83,100,12.59,overcast clouds
287,Laguna,US,38.421,-121.4238,49.08,86,0,5.75,clear sky
288,Saldanha,ZA,-33.0117,17.9442,63.21,63,2,12.66,clear sky
289,Kulhudhuffushi,MV,6.6221,73.07,84.74,73,100,10.83,overcast clouds
290,Esmeraldas,BR,-19.7625,-44.3139,74.26,53,0,5.41,clear sky
291,Sarangpur,IN,23.5667,76.4667,96.4,11,2,0.83,clear sky
292,Santa Maria,BR,-29.6842,-53.8069,66.43,68,74,8.81,broken clouds
293,Guerrero Negro,MX,27.9769,-114.0611,59.2,88,23,11.32,few clouds
294,Te Anau,NZ,-45.4167,167.7167,44.82,93,15,1.36,few clouds
295,Rawson,AR,-43.3002,-65.1023,59.56,68,41,20.94,scattered clouds
296,Carnarvon,AU,-24.8667,113.6333,73.94,76,99,10.89,overcast clouds
297,Roald,NO,62.5833,6.1333,61.72,47,40,2.3,scattered clouds
298,Ugoofaaru,MV,5.6667,73.0,84.81,72,100,10.11,overcast clouds
299,Richards Bay,ZA,-28.783,32.0377,65.39,91,100,2.35,moderate rain
300,Isangel,VU,-19.55,169.2667,79.39,83,100,2.37,overcast clouds
301,Filingue,NE,14.3521,3.3168,100.54,6,84,12.64,broken clouds
302,Yen Bai,VN,21.7,104.8667,64.81,95,100,0.72,overcast clouds
303,Alofi,NU,-19.0595,-169.9187,81.66,74,64,11.21,light rain
304,Moron,AR,-34.6534,-58.6198,69.96,73,93,4.68,overcast clouds
305,Mersing,MY,2.4312,103.8405,80.74,80,99,1.77,overcast clouds
306,Asau,RO,46.4333,26.4,43.72,54,100,12.62,overcast clouds
307,Lincoln,US,40.8,-96.667,42.17,52,100,9.22,overcast clouds
308,Dekar,BW,-21.5333,21.9333,79.56,43,92,6.71,overcast clouds
309,Adrar,MR,20.5022,-10.0711,95.72,8,5,11.39,clear sky
310,Prince Rupert,CA,54.3161,-130.3201,36.36,71,25,3.94,scattered clouds
311,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,75,6.91,moderate rain
312,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,11.5,light rain
313,Cockburn Town,TC,21.4612,-71.1419,77.95,81,80,19.6,broken clouds
314,Kloulklubed,PW,7.0419,134.2556,82.96,70,100,4.25,overcast clouds
315,Poltavka,RU,54.3663,71.7632,56.19,40,11,8.7,few clouds
316,Oksfjord,NO,70.2396,22.3479,44.01,99,100,6.6,overcast clouds
317,Kushima,JP,31.4583,131.2333,56.84,80,24,2.53,few clouds
318,Araure,VE,9.5601,-69.2148,76.24,81,100,0.63,overcast clouds
319,Acajutla,SV,13.5928,-89.8275,85.03,59,54,2.68,broken clouds
320,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
321,Waingapu,ID,-9.6567,120.2641,80.53,82,100,6.58,moderate rain
322,Manokwari,ID,-0.8667,134.0833,79.66,79,33,3.0,scattered clouds
323,Thinadhoo,MV,0.5333,72.9333,83.98,67,94,8.52,overcast clouds
324,Corrientes,AR,-27.4806,-58.8341,69.98,70,0,6.91,clear sky
325,Zhangjiakou,CN,40.81,114.8794,52.03,58,100,5.08,overcast clouds
326,Kavaratti,IN,10.5669,72.642,85.03,71,16,7.14,few clouds
327,Rocha,UY,-34.4833,-54.3333,66.87,68,78,4.76,broken clouds
328,Shorapani,GE,42.0898,43.0866,70.07,47,16,6.22,few clouds
329,Usinsk,RU,65.9939,57.5281,30.16,85,99,7.43,overcast clouds
330,Broome,US,42.2506,-75.833,36.63,68,100,13.8,overcast clouds
331,Dunedin,NZ,-45.8742,170.5036,52.81,80,15,10.0,few clouds
332,Borgo San Dalmazzo,IT,44.333,7.4858,61.56,20,43,6.31,scattered clouds
333,Ust-Kuyga,RU,70.0167,135.6,1.71,98,75,4.12,broken clouds
334,Diego De Almagro,CL,-26.3667,-70.05,69.51,22,0,2.77,clear sky
335,Zwedru,LR,6.0667,-8.1281,79.79,69,100,4.25,overcast clouds
336,Zharkent,KZ,44.1628,80.0,72.25,14,9,8.25,clear sky
337,Le Port,RE,-20.9373,55.2919,81.61,73,5,2.8,clear sky
338,Camacupa,AO,-12.0167,17.4833,74.98,63,89,3.78,light rain
339,Gushikawa,JP,26.3544,127.8686,67.23,76,0,4.61,clear sky
340,Ardakan,IR,32.31,54.0175,76.39,17,9,17.56,clear sky
341,Raipur,IN,21.2333,81.6333,98.74,28,73,4.61,haze
342,Eureka,US,40.8021,-124.1637,39.67,80,100,3.67,overcast clouds
343,Mount Gambier,AU,-37.8333,140.7667,55.49,97,100,4.09,overcast clouds
344,Arinos,BR,-15.9169,-46.1056,81.27,57,89,5.35,overcast clouds
345,Riom,FR,45.9167,2.9167,59.65,33,4,6.58,clear sky
346,Saint Anthony,US,45.0205,-93.218,36.64,57,75,9.22,broken clouds
347,Fortuna,US,40.5982,-124.1573,38.66,95,0,5.75,clear sky
348,Tyubuk,RU,56.0552,60.9405,41.85,69,44,6.31,scattered clouds
349,Havre-Saint-Pierre,CA,50.2334,-63.5986,32.36,100,100,13.8,overcast clouds
350,Manadhoo,MV,5.7667,73.3833,84.9,73,100,10.36,overcast clouds
351,Sivas,TR,39.7916,37.0019,63.23,25,0,10.36,clear sky
352,Lasa,IT,46.6166,10.7002,65.7,56,32,6.69,scattered clouds
353,Namatanai,PG,-3.6667,152.4333,81.05,77,97,9.33,overcast clouds
354,Pisco,PE,-13.7,-76.2167,66.25,82,62,4.61,mist
355,Puerto Carreno,CO,6.189,-67.4859,82.15,74,70,5.55,broken clouds
356,Whitecourt,CA,54.1502,-115.6855,25.84,100,100,4.61,overcast clouds
357,Solnechnyy,RU,50.7214,136.6319,26.53,95,100,5.06,light snow
358,Dezhou,CN,37.4486,116.2925,57.94,32,100,7.74,overcast clouds
359,Tautira,PF,-17.7333,-149.15,79.99,76,23,12.59,light rain
360,Apatity,RU,67.5641,33.4031,35.58,98,100,7.87,overcast clouds
361,Ridgecrest,US,35.6225,-117.6709,48.02,53,0,4.61,clear sky
362,Oranjemund,NA,-28.55,16.4333,69.91,51,0,15.43,clear sky
363,Magadan,RU,59.5667,150.8,22.6,81,100,5.59,overcast clouds
364,Severobaykalsk,RU,55.65,109.3167,32.14,99,100,1.92,light snow
365,Bougouni,ML,11.417,-7.479,94.37,28,100,9.37,overcast clouds
366,Maua,BR,-23.6678,-46.4614,70.75,87,97,6.33,overcast clouds
367,Bandarbeyla,SO,9.4942,50.8122,84.42,71,70,13.82,broken clouds
368,Ewa Beach,US,21.3156,-158.0072,73.35,79,0,8.05,clear sky
369,Portland,US,45.5234,-122.6762,39.61,89,20,4.61,few clouds
370,Atasu,KZ,48.6814,71.6433,68.88,24,96,9.28,overcast clouds
371,Mitu,CO,1.1983,-70.1733,81.93,69,91,1.36,overcast clouds
372,Hualmay,PE,-11.0964,-77.6139,67.82,80,68,5.1,broken clouds
373,Ziarat,PK,30.3823,67.7282,66.6,15,100,11.21,overcast clouds
374,Maposeni,TZ,-10.5833,35.4,74.84,77,48,6.96,light rain
375,Bauchi,NG,10.5,10.0,85.55,45,100,11.81,light rain
376,Koslan,RU,63.4564,48.8989,35.62,85,98,11.03,overcast clouds
377,Bilibino,RU,68.0546,166.4372,9.82,97,100,2.71,overcast clouds
378,Yenagoa,NG,4.9247,6.2642,82.53,79,100,4.79,overcast clouds
379,Okha,RU,53.5739,142.9478,20.82,94,89,1.72,overcast clouds
380,Ouadda,CF,8.0777,22.4007,97.56,26,70,4.21,broken clouds
381,Atikokan,CA,48.7555,-91.6216,19.45,95,100,3.65,overcast clouds
382,Skjervoy,NO,70.0311,20.9714,42.8,96,100,7.29,overcast clouds
383,Clarence Town,AU,-32.5833,151.7833,66.94,97,2,3.02,clear sky
384,Tacuarembo,UY,-31.7333,-55.9833,67.17,56,96,6.78,overcast clouds
385,Kargil,IN,34.5667,76.1,39.56,49,48,5.1,scattered clouds
386,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.78,74,100,6.31,overcast clouds
387,Cabedelo,BR,-6.9811,-34.8339,86.67,71,60,9.84,broken clouds
388,Merauke,ID,-8.4667,140.3333,80.55,81,100,2.77,overcast clouds
389,Labuhan,ID,-6.8844,112.2051,81.88,80,27,6.91,scattered clouds
390,Raduzhnyy,RU,62.0961,77.475,22.89,94,100,7.78,overcast clouds
391,Skibbereen,IE,51.55,-9.2667,53.11,77,56,17.87,moderate rain
392,Kontagora,NG,10.3999,5.4695,98.4,28,100,4.65,overcast clouds
393,Ojinaga,MX,29.5667,-104.4167,67.15,19,0,0.0,clear sky
