City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
265,Bani Walid,LY,73.29,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
266,Lhokseumawe,ID,80.91,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
268,Saint-Pierre,RE,81.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
270,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
281,Sarangani,PH,81.95,overcast clouds,5.4033,125.4636,Ballistic Islet
285,Benjamin Constant,BR,77.05,broken clouds,-4.3831,-70.0311,CASA AVALIADA
290,Esmeraldas,BR,74.26,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
296,Carnarvon,AU,73.94,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
300,Isangel,VU,79.39,overcast clouds,-19.55,169.2667,Tanna Lodge
303,Alofi,NU,81.66,light rain,-19.0595,-169.9187,Taloa Heights
305,Mersing,MY,80.74,overcast clouds,2.4312,103.8405,Timotel Hotel
311,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
313,Cockburn Town,TC,77.95,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
314,Kloulklubed,PW,82.96,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
318,Araure,VE,76.24,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
321,Waingapu,ID,80.53,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
322,Manokwari,ID,79.66,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
328,Shorapani,GE,70.07,few clouds,42.0898,43.0866,LaBe Family Hostel
335,Zwedru,LR,79.79,overcast clouds,6.0667,-8.1281,Elijah Worjloh
336,Zharkent,KZ,72.25,clear sky,44.1628,80.0,гостиница Satti
337,Le Port,RE,81.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
340,Ardakan,IR,76.39,clear sky,32.31,54.0175,Ardakan Hotel
344,Arinos,BR,81.27,overcast clouds,-15.9169,-46.1056,casa do bruno
353,Namatanai,PG,81.05,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
355,Puerto Carreno,CO,82.15,broken clouds,6.189,-67.4859,Casa Hotel Victoria
359,Tautira,PF,79.99,light rain,-17.7333,-149.15,Pension Oaoa
366,Maua,BR,70.75,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
368,Ewa Beach,US,73.35,clear sky,21.3156,-158.0072,Base Lodging
378,Yenagoa,NG,82.53,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
389,Labuhan,ID,81.88,scattered clouds,-6.8844,112.2051,DoubleFAG
394,Rio Grande,BR,77.11,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
396,Kroya,ID,81.03,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
399,Lata,PT,75.49,overcast clouds,40.1629,-8.3327,Casa Maquia
403,Metro,ID,77.34,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
410,Vintar,PH,78.91,few clouds,18.2284,120.6475,VYBE Hotel
424,Ponta Do Sol,PT,75.13,overcast clouds,32.6667,-17.1,Hotel do Campo
425,Juruti,BR,81.32,moderate rain,-2.1522,-56.0922,Pousada Marupiara
430,Mpwapwa,TZ,76.87,light rain,-6.35,36.4833,THE ROYAL LODGE
431,Coahuayana,MX,74.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
434,Katobu,ID,75.02,overcast clouds,-4.9408,122.5276,La Ode Husein
435,Labrea,BR,80.17,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
439,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
441,Kerman,IR,70.11,overcast clouds,30.2832,57.0788,هتل آپارتمان آسام
443,Cordoba,AR,71.76,clear sky,-31.4135,-64.1811,Hotel Sussex
450,Kieta,PG,79.68,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
453,Baghdogra,IN,78.93,few clouds,26.7,88.3167,OYO 3155 Marina's Motel
467,Luena,AO,70.92,light rain,-11.7833,19.9167,Hotel Kandamba
469,Lufilufi,WS,73.18,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
471,Mandeville,JM,77.4,clear sky,18.0417,-77.5071,Mandeville Hotel
473,Mayumba,GA,82.2,light rain,-3.432,10.6554,LIKWALE LODGE
474,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
478,Vila Velha,BR,82.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
479,Puerto Leguizamo,CO,78.03,overcast clouds,-0.1934,-74.7819,la casona de juancho
480,Bathsheba,BB,79.66,overcast clouds,13.2167,-59.5167,Atlantis Hotel
481,Oriximina,BR,81.48,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
483,San Vicente,AR,70.88,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
484,Padang,ID,80.17,light rain,-0.9492,100.3543,Mercure Padang
485,Tinde,TZ,79.57,overcast clouds,-3.8833,33.2,TGHS Hostels
494,Sal Rei,CV,75.4,few clouds,16.1833,-22.9167,Marine Club Beach Resort
506,Zhezkazgan,KZ,71.58,clear sky,47.8043,67.7144,Hotel Zumrat
513,Veracruz,MX,81.0,scattered clouds,19.3333,-96.6667,El Carrizal
516,Lazaro Cardenas,MX,75.31,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
520,Bairiki,KI,78.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
522,Teknaf,BD,80.85,few clouds,20.8624,92.3058,Forestry Guesthouse
523,Atambua,ID,74.5,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
531,Hwange,ZW,78.76,broken clouds,-18.3693,26.5019,Hwange Colliery Guest House
549,Lorengau,PG,81.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
555,Luwingu,ZM,72.37,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
560,Samarai,PG,82.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
568,Quatre Cocos,MU,79.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
569,Uige,AO,79.54,light rain,-7.6087,15.0613,Hotel Catraio
575,Port Moresby,PG,77.85,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
576,Sao Fidelis,BR,78.75,scattered clouds,-21.6461,-41.7469,Hotel São José
580,Vicuna,CL,80.76,clear sky,-30.0319,-70.7081,Los Mosaicos
584,Prachuap Khiri Khan,TH,76.17,light rain,12.2167,99.75,ผกากรองรีสอร์ท
590,Zihuatanejo,MX,71.69,clear sky,17.6333,-101.55,La Casa Que Canta
592,Champasak,LA,75.36,broken clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
597,Pangai,TO,81.01,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
607,Komsomolskiy,UZ,80.89,broken clouds,40.4272,71.7189,Ikathouse
608,Topolobampo,MX,70.81,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
